content,score
海南保亭的黎苗族风情景区，可以看到他们的艺术，居住环境，房屋，传统表演！大型艺术表演很有韵味！黎锦是举世闻名的艺术杰作！这里有好多老人制作黎锦！属于热带雨林，植被丰富！，第二次来，现在景区把地圈大了，入口和酒店入口在一起，游玩要到南边停车场买票乘车进入，但没有文字标识，开车到门口，不让进，再倒回去。电瓶车到站后也没有明显标识，其实可以往左前方上平台到达会场入口，进入参观后，出正门下来，往前到游艇码头。可是没人告诉你，转了一大圈。150的门票包涵参观及电瓶车和船票，也不能算贵，但是客户体验太差。博鳌名气大，是论坛名气大，服务还是没有亚洲视野。,0
槟榔谷，大家都知道槟榔，也知道海南人有吃槟榔的习惯，初到三亚，就听说出租车司机朝窗外吐槟榔，吓坏路人哈，当然一提到槟榔谷就必然想看看了，只能说真的很美，从排队等票时对里边的神秘充满了好奇，到进去了解后喜欢上这里脸上纹绣的黎族老奶奶，邻家小妹妹，带我们进去的导游也很可爱也都是这里的人。我一直有一个问题问导游，槟榔树为什么能长得那么高还生长的这么直？导游说他也不知道，就生长成这样了，我就问了度娘，也没找到我想要的答案。当然，研究不明白槟榔树，更研究不明白黎族老奶奶脸上身上的绣图图案所表明的意思了哈，不过那也是一种文明，我只能用心去体会。在里边感觉在原始森林的感觉，尤其在入谷口时，幻想着如果这儿不是个景点，有这么一个世外桃源有这样一群人，多美！，全票125&#165;，儿童票居然没有半票，要100&#165;；70岁以上老人居然不能免票，要90&#165;。还不如在网上订票来得划算。玉带滩沙质粗糙，还有村民不断兜售各种商品和活动。会议中心进入主会场后走个场5分钟就结束了。,0
黎苗族文化主题公园，展示黎族、苗族服饰手工文化，传统民居，狩猎技能，传统舞蹈，民族美食，环境优美，到处是槟榔树和椰子树！有小火车连接各主题景区！，博鳌亚洲论坛会址名气大大。尽管周末下雨，我们还是冒雨而去，赶上酒店有会议，入口只卖一种票，90元一张。买票上电瓶车，也没人查票，直达酒店门口。酒店门口拍拍照就上了游船去玉带滩，玉带滩上可观三江入海和圣公石，还是比较壮观，滩上风大浪急，停留时间不长，返回却在码头处的商店里花了不少时间，买了几个记念品，包括一只能听到海的声音的大，还是很开心的,0
去的那天太阳很大，带着儿子一起去的，里面主要是少数民族的传统习俗文化遗产等，导游讲解一下会更有意义，里面还住着高龄的老人，依旧身体硬朗笑容满面的和我们打招呼，里面也有些米酒，水果之类的销售点。少数民族歌舞表演不错，载歌载舞的好热闹。基本上一路上都有零食小吃，基本不得饿肚子，好啦，就评价那么多，可以去感受下少数民族地域风情！！！，这是我第一次博鳌，机场有点小，但是博鳌亚洲论坛永久会址很震撼，到底是开国际会议的地方，环境优美，镜头随便一站都是美景，绿树成荫，蓝天白云，碧海云天，沙滩也很好玩，要不是赶飞机肯定是不着急走的。这个地方人也不错，下次还会再来！,0
该景点是海南游中比较值得去的地方，还有民族歌舞表演也值得看，这次和几家朋友自驾游，本来是想图方便通过携程网络订票的，但见订票的介绍不清晰，而我们十多二十人当中有一半不同年龄段的老人，最后决定到现场购票，总的来说，景区服务不错，工作人员热情有礼，主动服务.感觉从景色，接待服务和性价比均好过南山.,0
槟榔谷主要展现的是黎苗两族的文化，对于没有接触过的人来讲，槟榔谷还是挺有看头的！里面的装饰、人文、历史与文化都流露出非常浓厚的民族特质！不过也像内地不少“人文”景观一样，里面的商业气息也是比较浓厚的，不过还好在黎苗两族少数民族文化的印衬下并不让人反感，不过那些跟团过来的人估计少不了买买买了，我本来应该在里面玩的更久一点的，可惜被垃圾的携程一日游害得只能赶赶赶！，博鳌亚洲论坛永久会址建立在东屿岛上，每年都迎接来自世界各地各个领域的与会者，在此，共同商讨、交流有关合作事项。由此博鳌小镇也名气大增，电视新闻博鳌会议镜头播放，深深地吸引着我。元月初，终于实现了愿望。博鳌会址与玉带滩买套票划算，参观游览2个景点也是连贯在一起的，进入博鳌会址后才能坐游艇去玉带滩玩，景区内基本上都是旅游团，我们这些散户去不太方便，因为博鳌机场和博鳌镇到博鳌会址的公路在维修，没有公交，出租车不肯去，后来只好叫了一部黑车50元从小路绕道而去。东屿岛博鳌会址环境很好，进入这里欣赏北纬18&#176;的碧海蓝天确实是一种享受，不愧为世界高端会议所在地。除了主会场以外，还有广场建筑很吸引人，特别是一尊重八吨高2米的熬石雕像，是采用整块黑龙骨石雕刻而成的稀罕之物、浩气十足。与此合影留念的人陆续不已。走向世界的【一带一路之歌】金光闪亮，面向远方。从进入景点到走出会议主会场，伟大祖国的自豪感始终陪伴着我们，，博鳌会址-值得大家去欣赏去领略去分享祖国强大的“滋味”！,0
今天第一站来到了计划中最远距离的槟榔谷，说实话今天的天气很不给力，18&#176;还是雾霾天，索性计划中选定的这里而不是海边，我们开车到了接待处那里保安示意我们车停这里，等待电瓶车送到售票大门入口，这里一定提醒大家，千万别听保安的说里面没停车位置，开进去才是最明智的选择，我们就吃了这个亏，送进去的电瓶车五分钟左右一辆，可是送你出去的电瓶车可就要20分钟一辆了，还有可能坐不上去因为人多！入园后的景色自己民族特色风情很不错，我就不多介绍，但是一组一组的旅游团真的很多，你的观赏心情随时会被他们的队伍消磨殆尽，等电瓶车排队时绝对是一人当道全团跟进，哎！ 其实总的来说，这个景区就是一个盘山向上的多景点组成，各个景点都需要电瓶车接送，每个场景都是很有特色，从不同角度介绍了他们民族独特而又丰富的民族文化，收集使用各种草药，治病的泉水，下卜的技能都是他们独特的应对大自然的生存技能，反正给你展示了他们最原始的生活状态，如果都逛完的话半天的时间真的不够哦！我们是半路下山没有逛完就提前离开了！ 综合评价还可以，值得一去，博鳌亚洲论坛永久会址，坐落在美丽的东屿岛上，那里的建筑非常豪华气派，树木，海滩，蓝天白云，温泉奇石，和美丽的海岸线，黄金般的沙滩形成了一道美丽的风景线，那的美表现在方方面面，你的相机不管对着那个地方照出来的画面，都是美丽无比的，那的气侯也非常好，你如果是12月份淡季时候去，价格还非常实惠哦!,0
槟榔谷，顾名思义，这是一个以槟榔树为主题且以观赏休闲为目的的一个景区，作为一个标准的旅友客观的评价一下槟榔谷这个景区，以下属于个人观点，不喜勿喷： （这是逛槟榔谷的最大意义之一，这属于非物质文化遗产了，实话说，奶奶们真的是在织布，但是这不对外销售，这是自己织布自己使用，当然，高价格也可以协商购买，但是对于我一个无产阶级来说，这个东西对我不实用，现在的工厂的产物对我来说已经足够啦，我对手工的作品也没有什么很大的执念，所以我不明白，一件Gucci的手工毛衣可以卖得辣么贵，辣么贵，心疼我这种无产阶级。） 吃：小吃街，里面有海南算是比较特色的小吃，但是我作为海南本土人，兴趣不大，但内地来的朋友们买了菠萝饭，他们觉得还挺好吃的；我们还吃了菠萝，都知道景点的实物都比较贵，但是这里的菠萝虽然贵，但是很甜；还有一个蜂蜜炒椰子肉，那个真的很贵，但是好好吃，可以试吃，朋友们要买，所以我全程都在吃，请尽情的鄙视我吧，我不介意。 喝：请自行准备喝的水，作为一个不喝饮料（饮料只喝椰子水，觉得好作）的我，携带了两瓶矿泉水，小吃街里面有卖饮料，怕麻烦的可以自行去购买哈！ 住：无（我们没住，所以不知道，不怕远的话住山上的度假酒店区感觉还是不错的，我们是从君澜下来的，还行吧!前天晚上住的，没有在槟榔谷这一带住） 行：其实行这一块才是写这篇攻略的最大亮点，嘿嘿，前面的都是铺垫，铺垫。 现在开始进入主题；当我们驾驶车从“呀诺达”到“槟榔谷”的时候，感觉槟榔谷的停车位很给力耶，剩下多少车位一目了然，感觉停个车都好感动。当我们抵达槟榔谷的时候已经是下午2:30左右了，所以要制定一个完美游览计划，我们在槟榔谷的游玩路线是：门口步行直达演出的地点（大概快快步行的话大概需要18-22分钟左右的样子），因为我们看的是2:50的表演，看完演出出来再出来观光。（取票-看表演-观光-返回海口），这个地方一般不会作为主流旅游景点的，因为开大会所以到这里待了几天。这个博鳌亚洲论坛会场自2001年在琼海博鳌开展第一届会议以来，就已经作为博鳌亚洲论坛永久会址，大门口有万国国旗，里面有各种别墅作为住宿酒店，和会场相隔甚远，需要电瓶车接驳。,0
槟榔谷分为各种各样的区域，纺织的，制棉的等等。。。 有大型的表演节目，但是还要额外付钱买票所以我们就没有去~ 门票好像是包含索道的，但是走来走去也找不到过去的入口，后来听工作人员说，是一个人一个座位的那种索道，小朋友也不能坐的。。。 所以就放弃了，兜了小半圈，看我儿子已经热得满头大汗走路都跌跌冲冲了。。。 遂放弃打算直接去海鲜大餐去了~~~ 导航直接导了新民街，但是附近实在是太难停车了，而且5点左右开始全是人全是摩托车总之就是难开啊。。。 兜了一大圈终于停到了一个酒店门口，打算走过去~~ 因为兜的有点晕了，所以下车以后问了下路人，往新民街怎么走，问好后直接走去之前看好的阿浪海鲜，虽然有很多拉客的，但还是做攻略时知道一些防备宰的，所以没他搭理她们直接去了阿浪海鲜。到了阿浪海鲜以后让一个阿姨带我和我爸去第一市场买海鲜，自己带着我妈妈和小朋友去店里坐，我觉着这个安排挺人文关怀的。。稍许有点好感。，会议中心网上买票好像才四十多，如果买一百多的票会带你坐船去一个沙滩上，很纯粹的沙滩没别的，海水很漂亮但不能下水，还得应付那些跟着你，要你消费拍照和海龟合影的，我还看见有个人把海龟放海里但用根绳子栓住不给他游走……总得来说，去看看会议中心还可以，坐船去沙滩的话性比价不高。不过我去售票处看的时候只看见一百二十五的票，网上大多也是一百零八。本来就是冲国家领导人开会的地方去的，还以为是在一个岛上，结果无论是成立会址还是永久会址都是开车就到的。各位还是要看清楚了，别花了没必要的钱,1
里面的大型实景演出一定要看，最好买VIP位置，看了不会后悔的。 演出门口的小菠萝10元3个，非常好吃，下山虽然也有，但是不去演出门口那家好吃。 导游是美丽的黎族女孩小珊。 不喜欢去苗族那边，商业化太重了，都是卖东西啦。，博鳌亚洲论坛永久会址景区座落在美丽的东屿岛上，这里有河海交融的旖旎风光，景区覆盖整个博鳌东屿岛，东屿岛的地形酷似一只缓缓游向南中国海的巨鳌，2008年获评国家AAAA级旅游景区，是集观光旅游、餐饮娱乐、休闲度假为一体的综合性旅游区。景区内的主要景点有：名人园、国玺园、喷泉广场、博鳌亚洲论坛国际会议中心、祈运台、博鳌亚洲论坛展览馆、鳌石广场、玉带滩等。,0
