content,score
不建议国内小长假来龙门和少林寺体验实在不佳唯独这季节盛开的牡丹花倾国倾城也算安抚了一下我的心情,1
景区问题:龙门石窟管理混乱，检票口，电瓶车都没要团散分开，通行速度特别慢，耽误时间。小宋城吃饭环境太差，连坐的地方都没有，桌上也没人收拾，菜也一般，特别混乱，建议不要再安排在那里吃饭了。酒店:伊川丽都大酒店和新密承誉德大酒店都非常好，环境，服务，早餐都不错，推荐新密酒店。费用问题:行程收了50元，30元竟然是导游讲解器钱，乱收费，这些都应该是旅行社免费提供的，要求退费。20元为龙门石窟电瓶车钱，可行程里未提到。吃饭问题:整个行程就一顿团餐，素斋，馒头都发霉了，如下图，特别黄，实在是不敢吃。,1
首先国庆出游路上非常堵，景点人非常多，这个我们第一次去的游客不了解情况，但是携程与当地合作的旅行社应该非常清楚，所以行程上应该注明出发时间会非常早，结束时间也会非常晚，这样我就不会选择报团了。我们两天的出发时间均在早上六点四十，而不是订单注明的八点半。整个行程时间均不是按照订单走的。所以导致每天五点多起床然后急匆匆的吃完早饭，然后一路堵车，然后景点由于人多，进程很慢。第一天游玩后到酒店近晚上十一点，第二天的清明上河园也是急匆匆看了一圈，又急匆匆去小宋城吃了午饭。整体游玩感觉很不舒服，玩也没玩好，吃也没吃好。总结，以后千万不要选择黄金周期间国内游，玩的话早订票订房自助游，起码还能吃个踏实饭！同时不再信任国内的旅游团，伸缩性太大！,1
整个出行还算顺利，导游也是忙前忙后服务比较周到。就是我一开始上的大巴，到了目的地就分去别的导游那里了，因为人少，景点间的用车就很一般，体验不太好。整体行程走马观花比较匆忙，可能我体力不好，总是掉队。,1
导游还不错，酒店也不错，但是不是真正的纯玩团。最后一天上午大概逛凤凰半小时，购物点却逛了3个小时。希望有购物就写清楚，毕竟有苗寨购物的团比这个便宜多了。订这个的朋友最后一天可以晚点起床，多休息一下，不去购物。,1
我对我接下来说的每一句话负责任！这个行程真是太差了！！！整个行程马不停蹄。我腰都累犯病了。除了坐车就是在等人。而且明明标明是最多30人团，实际是好多伙客人拼凑，多达31人。住宿条件极差，选的都是备选酒店里最便宜的。还什么四钻行程，我看连3钻都不配。在凤凰走了很多很多的路。行程安排极其不合理。所有的自费小交通（环保车之类的）导游根本不给你选择，直接把票买好了。根本不会告诉你，如果步行游览需要走什么路线。太坑太坑了！接下来准备自由行了。携程高销量也不可信任。,1
一般般般般,1
菜量较小味道过咸，肉基本都是肥肉，自费的项目本来应该可以自己选的，但导游强制要交，最后要强制好评,1
我们选的是3日2晚，张家界大峡谷/天门山和芙蓉镇/凤凰古城。张家界/天门山导游李赵是一位非常出色的导游，细致敬业。而凤凰/芙蓉镇的导游却完全放羊，交代不清楚，游客找不到他，更谈不上有什么讲解。更不可思议的是在回长沙的路上让游客当着他面给好评。虽说本团无购物，但一个非物质文化遗产讲解员还是带我们去茶叶铺和银器店购物。张家界/天门山李导5星凤凰/芙蓉镇谢导2星,1
本次旅行是在五一出行，知道并理解五一人会多，景点会排队，都理解。但是这次报团就相当于自由行，导游到点就让我们自由活动，景点都不讲解，中途去凤凰古城的行程上换导游，结果下一个导游都不***，第一个导游先走了，我们就在停车场从一点多等到三点半。没人管我们，，，，还是问了同行的团友才知道第二个导游电话，才联系到。到了墨戎苗寨，上了车，第二个导游一句解释也没有。，，，七点半了苗寨，讲解员套路我们，打着扶贫的名义卖茶，结果全团的人都怒了，我们都想赶着去凤凰古城看夜景，路上还有三个小时，他还在卖茶，还没叫我们吃晚饭.超级无语和愤怒。第二个导游文颖，全程基本不讲解，全程相当于自助游，而且基本都是我们在找她，经常见不到她一个人在哪。回去的车上，导游还要一个一个给她好评，我想说她这样的导游就没人投诉吗，怎么还能做得下去?此次出行不针对携程，只对是地方旅行社开心假期的文导游点评，景色很美，但是服务真的不敢恭维。,1
"这次旅游总得来说非常的糟糕，但是行程的导游非常负责任，毕竟散客团一晚上安排了10几个住处，非常不容易了！所以以下的评论并不是针对导游，而是糟糕的旅行公司和错误的页面。1.A,B线完全一样，并没有分别成团，整个团就是散客团，拼一段一段的旅程。所以选择B线两人游比A线贵了500，只体现在第一晚的住宿，第一晚住宿携程查的价格只有350一晚，所以建议没有必要升级，直接当天自己出去住就行了，500的价格在张家界已经可以找到不错的住宿了。2.因为担心2天长沙往返张家界太辛苦，就预定了这个行程显示到凤凰古城1小时40分钟的产品(只怪自己没有查，完全信任了携程)，11.30结束天门山游览，结果2:30上车9:00多才到酒店，比当天回长沙更辛苦。3.到凤凰的路上有旅行公司请的凤凰古镇的向导一直在讲解，粗略统计长达3小时，对于5.30起床去天门山森林公园的我们来说，严重打扰了休息。讲解的内容基本上是风水迷信，言下之意就是希望你购买银饰品，朱砂，佛牌等。这样的纯玩团简直比把我们关在购物点1小时更痛苦????????本着对携程的信任，所以跟父母出行的时候直接选了销量最好的产品，结果很失望！！！",1
不提五一黄金周人多这个情况，5小时车程，停4个服务区，400公里硬是开了将近八个小时。。出行两天半，坐车一天半,1
住宿条件与事实不符,1
出发时间太早每天都是七点出发，伙食较差基本没肉，有肉也是几片肥猪肉，酒店是民宿，导游缺少笑容及亲切感！,1
张家界的整体还好，凤凰古城简直就是催着购物,1
行程紧凑，无时游玩，人很多，没吃好，导游与其他游客发生口角，影响心情！,1
全程3天2晚，目前2天行程不到，已经换了3个导游，第一天，第二天都是5点10分集合，我们都是4点多就起床，本来心情愉悦，没想到，2天虽然行程满满，但可怕的事情发生了，看一个景点，换一个导游，压根不知道哪是哪，跟着哪个人走，我们像行李一样，被踢来踢去的，到处和别人拼团，一丁点的愉悦感都没有，还到处被人家团内人嫌弃，说我们是半道插进去，目前还不知道最后一天什么样子，这完全是旅游历程中最差的一次，真是丢张家界的脸,1
还行吧，虽然导游有点啰嗦，但还是挺负责的，旅行社也还行，旅途中虽有点小波折，不过很快就协商处理好了,1
价钱比较合理，行程的话三天有四个导游带，一个景点一个导游。,1
整体感觉就是坐车观光排队导游办事效率太低说话不清楚爱答不理,1
电话咨询态度不太好！一句你好都没有开口就一个字说！,1
风景是不错的，只是在整个路途中只有在车上让我们感觉到是有个导游的，下了车我们就像只无头苍蝇，自己去排队去风景区，下车后没有导游的任何讲解和带领，我不知道是不是这个订单中不包含导游带领游览景区，还是他的职责只是帮我们买票然后送到目的地，中途有一点点的不愉快，因为第一天我们上车的时候带着小孩走的比较慢，上车后坐在靠后边的位置，导游有说中途下车吃完饭上车还是坐原来的位置我们都遵守了规则，第二天上车我们以为位置是随机坐的，我妈妈晕车所以找了靠前排的位置坐下，结果导游一上车就让我们坐昨天的位置去，昨天导游说下车吃饭是不能换位置，没说整个旅途都不能换位置呀？我们都觉得有些不公平，凭什么就是因为先上车坐前排的就得一直坐前排，对我们坐后排的是不公平的，花同样的钱享受的待遇截然不同，我们说不公平，导游说不满意可以去投诉，不投诉就是牲口！这句话该是一个导游能说出的话吗？真的是影响心情！尤其是到凤凰古城一路都是当地的导游带领游览，让我们心里形成了个鲜明的对比，在张家界完全就是只无头苍蝇到处自己乱走一通,1
凤凰古城的旅程跟我想得不太一样，整个旅程不大累。,1
第一天的大峡谷由于泥石流不能玩了，导游就推荐自费景点，很生气！难道不应该换一个别的线路的免费景点吗！吃饭超级差，根本不是按照行程介绍的那样，菜的数量少了，也换成便宜的种类了，而且难吃的不行！跟团里的其他游客对比了一下价格，在携程上预定明显贵很多，不开心,1
没有按照行程参观天门寺和坐索道。导游带到云梦仙顶就让坐大索道下山了。,1
揣测了好多家旅游行程才选择的这家，忽悠！从长沙到张家界，行程晚上凌晨一两点才到达酒店，我也是醉了，这是最不能容忍的，描述的为啥就这么大差异！！路程也没有讲解，住的还是正在装修的宾馆~凤凰古城一路上还是挺不错的，夜景很美，走的很累！感谢讲解员一路随同指导介绍！因为是散团也比较理解！但是一个服务行业也应该业你们的服务态度！谁赚钱都不容易！我们也是赚钱花钱出来消费，希望能得到你们描述的服务吧，起码别忽悠人……,1
出来这三天里。小胖很细心的向我们讲解。对我们的住行十分负责。非常好。,1
天门山风景不错行程比较满意期待下一次。,1
还可以吧，就是全程不是等车就是排队的都把时间浪费掉了，,1
三天行程基本上都在车上，最后一天的凤凰古城来回开了十几个小时，就是到古城河边逛了一圈，两天住的客栈洗澡不是没热水就是没冷水，最后一天吃饭及其差，一车人都和导游建议不要去吃了，一路上不是拼车就是等人，浪费了好多时间，我也是醉了，人家那么多好评是怎么来的，我就感觉天门山这个景点是这次去的唯一价值了,1
餐餐吃水煮的菜，吃得太坑d(?д??)一天二十四小时最少有七八个小时在赶路，时间太紧凑了。晚后一晚最坑，洗澡的水都不热，有空调没有摇空器，晚上睡觉很冷。,1
跟团游，除了省心，其他真的很一般，特别是凤凰古城的住宿，一点都不好。吃饭真的很一般，团餐不好吃正常啊，行程大部分都有到，但是景点的讲解很少，果然是跟团不能太有期待啊。,1
因为导游时间被拖，没有准点去凤凰看夜景，晚上十二点都还没有到住的地方，也没有去成凤凰，酒店定在别的地方还要把本来是一家的人要分开，早上七点起床，晚上还不让睡，导游还在一直讲，十二点四十还没到住的地方，第二天还要六点集合，开的房子还是有人住的，在凤凰带着瞎跑，连地方都找不到,1
导游对大家的规划很不专业也很不守时虽然说是不进购物店但最后还是进了购物店感觉全程都在找导游导游一跑就不见了也没有给大家说集合地点和时间每次都是等了很久才等到她从后面过来,1
特别省心的一趟出游，完全不用自己考虑，有其它想去的地方，毛导还会给我们一些建议??贴心的姐姐,1
不满意。建议自由行，还有凤凰古城适合慢慢玩,1
这次出游真的是很想吐槽，导游还是很好的，讲解很耐心，对我们的出行也照顾的很不错。但是行程安排真的是很无语，第一天的时候到大峡谷玻璃桥，行程介绍上说活动时间是三小时左右，我们理所当然的以为就是包括大峡谷的游览了，结果告诉我们游览时间是半小时左右，不包括大峡谷，建议我们每人170元增加一个大峡谷的项目，也可以选择不去在车里待两个小时，既然都出来了，谁还会待在车里？第二天七点集合，本来行程介绍里是上午去天门山，然后下午去那个湖南印象买东西的，结果七点一大早就拉我们去了湖南印象，听了半个多小时的产品洗脑，不买东西的话服务员对你的态度真的是一百八十度大转弯……明明介绍里说的是二十分钟的时间，结果浪费了一上午！快午饭的时候才带我们去天门山，在车上又收费，虽然扶梯和鞋套的项目有说明是自费，可做可不做，但是介绍里没说过是必须做的吧？又告诉我们有一段扶梯是必做的，exm？大清早起来为的是开开心心去玩的，天气不好就算了，结果浪费一上午的时间让我们去买东西，简直心情差到爆！庆幸最后凤凰的项目没有让人太失望，卓泡菜很敬业，讲解的也很细致～总体体验很一般……,1
